id,song,stem,condition,domain,ld,ld_loudness_matched,absolute_lufs_difference,absolute_crest_difference_db,centered_envelope_rmse_db,centered_band_rmse_db,max_stage_clipped_fraction
history_007_vocals,Al James - Schoolboy Facination,vocals,gain_minus6,normalized,0.0056680007837712765,0.005673575215041637,3.6210038913964127e-06,3.353465416466861e-06,9.52958845107732e-05,5.909703759243712e-06,0.0
history_007_vocals,Al James - Schoolboy Facination,vocals,gain_plus6,input,1.6762012243270874,6.372113602992613e-06,5.999999790968928,2.64898432078553e-08,3.1989879911595455e-08,1.2536374924820848e-05,0.0
history_007_vocals,Al James - Schoolboy Facination,vocals,gain_plus6,normalized,0.005308301188051701,0.005313735455274582,3.8519059586406e-07,8.650746252669705e-07,8.469878110145963e-05,1.2766418876708485e-05,0.0
history_007_vocals,Al James - Schoolboy Facination,vocals,eq_minus6,input,0.38111114501953125,0.44742077589035034,2.288331882260863,0.9645374044698727,0.9454429509597194,1.6397424936294556,0.0
history_007_vocals,Al James - Schoolboy Facination,vocals,eq_minus6,normalized,1.6333059072494507,1.620887279510498,0.26005913856461405,0.17754234446808326,1.6297674782476506,0.20138496160507202,0.0
history_007_vocals,Al James - Schoolboy Facination,vocals,eq_plus6,input,0.61612868309021,0.5384689569473267,3.1325952100325587,0.5303180278194191,1.1294174764738218,1.7145029306411743,0.0
history_007_vocals,Al James - Schoolboy Facination,vocals,eq_plus6,normalized,0.15325328707695007,0.15325824916362762,0.0005950186025103221,0.8400044655028367,0.04143101079289658,0.005918632261455059,0.0
history_007_vocals,Al James - Schoolboy Facination,vocals,comp_ratio2,input,0.7984859347343445,0.3823612928390503,4.462335294063685,2.430711363598359,1.7447417798902838,0.5660338401794434,0.0
history_007_vocals,Al James - Schoolboy Facination,vocals,comp_ratio2,normalized,0.48205745220184326,0.47896528244018555,0.1303419182170309,1.8855812871934816,1.992607633810145,0.32105162739753723,0.0
history_007_vocals,Al James - Schoolboy Facination,vocals,comp_ratio4,input,1.1167171001434326,0.5727508068084717,6.482827374239886,2.7894796454772823,2.6254757271108713,0.9459202289581299,0.0
history_007_vocals,Al James - Schoolboy Facination,vocals,comp_ratio4,normalized,0.6770877838134766,0.6716461181640625,0.2814641119164456,2.850889336261936,2.881271203791939,0.48341721296310425,0.0
history_007_other,Hollow Ground - Ill Fate,other,identity,input,0.0,0.0,0.0,0.0,0.0,0.0,0.00012876474832533802
history_007_other,Hollow Ground - Ill Fate,other,identity,normalized,0.0,0.0,0.0,0.0,0.0,0.0,0.00012876474832533802
history_007_other,Hollow Ground - Ill Fate,other,gain_minus6,input,1.1109694242477417,3.357983223395422e-05,6.000000466911352,8.995698408398312e-08,9.507788392689091e-08,3.4119689189537894e-06,0.00012876474832533802
history_007_other,Hollow Ground - Ill Fate,other,gain_minus6,normalized,0.011423993855714798,0.011429324746131897,7.515596983864725e-06,9.412475534986697e-06,6.50923262439858e-05,1.194189189845929e-05,0.00012876474832533802
history_007_other,Hollow Ground - Ill Fate,other,gain_plus6,input,1.6452319622039795,3.912583633791655e-05,5.999999808228019,2.1635511160411625e-07,3.603087222530295e-08,5.909703759243712e-06,0.00012876474832533802
history_007_other,Hollow Ground - Ill Fate,other,gain_plus6,normalized,0.5300915837287903,0.051521360874176025,2.117720449665601,0.0037765673544818412,0.16590226709312186,0.001003571436740458,0.00012876474832533802
history_007_other,Hollow Ground - Ill Fate,other,eq_minus6,input,0.17195507884025574,0.1815560907125473,0.5542419727428083,0.2092388283316211,0.41058492156072346,1.639858603477478,0.00012876474832533802
history_007_other,Hollow Ground - Ill Fate,other,eq_minus6,normalized,0.5742729306221008,0.1585966795682907,2.1189795582274833,0.0824607628291929,0.16810565068481803,0.015189725905656815,0.00012876474832533802
history_007_other,Hollow Ground - Ill Fate,other,eq_plus6,input,0.23458045721054077,0.24602250754833221,0.861988963282105,0.16766303407678151,0.6493433964868127,1.7310110330581665,0.00012876474832533802
history_007_other,Hollow Ground - Ill Fate,other,eq_plus6,normalized,0.5759286880493164,0.15828001499176025,2.119939387873842,0.025165107897162642,0.17726517288741864,0.01490725576877594,0.00012876474832533802
history_007_other,Hollow Ground - Ill Fate,other,comp_ratio2,input,0.7166754603385925,0.3360673785209656,3.926593710070655,1.5946185779975295,1.4839385571573336,0.9149417877197266,0.00012876474832533802
history_007_other,Hollow Ground - Ill Fate,other,comp_ratio2,normalized,1.822838544845581,1.6851218938827515,2.1136017523440955,0.4925978546683609,1.7021358043148034,1.2819427251815796,0.00012876474832533802
history_007_other,Hollow Ground - Ill Fate,other,comp_ratio4,input,0.9951950907707214,0.49335312843322754,5.675481200247443,1.174333481847814,2.2158981506671798,1.3257778882980347,0.00012876474832533802
history_007_other,Hollow Ground - Ill Fate,other,comp_ratio4,normalized,1.8198394775390625,1.6857751607894897,2.080363781421319,0.2819897086930503,2.2937971582514622,1.6001337766647339,0.00012876474832533802
history_008_bass,Arise - Run Run Run,bass,identity,input,0.0,0.0,0.0,0.0,0.0,0.0,0.0
history_008_bass,Arise - Run Run Run,bass,identity,normalized,0.0,0.0,0.0,0.0,0.0,0.0,0.0
history_008_bass,Arise - Run Run Run,bass,gain_minus6,input,1.1870368719100952,2.7174239221494645e-05,6.000000508674656,2.4552780075737246e-07,1.3498915284740622e-08,8.529922524758149e-06,0.0
history_008_bass,Arise - Run Run Run,bass,gain_minus6,normalized,0.039006274193525314,0.039006274193525314,4.82287042302687e-07,2.890915951070383e-07,0.00015606791948007847,0.00047211407218128443,0.0
history_008_bass,Arise - Run Run Run,bass,gain_plus6,input,1.6853277683258057,3.206017936463468e-05,5.9999998019115175,4.160758937388209e-07,8.530066156622757e-09,1.4872427527734544e-05,0.0
history_008_bass,Arise - Run Run Run,bass,gain_plus6,normalized,0.04188789054751396,0.04189717769622803,3.036863823524527e-06,2.1313546838541697e-06,0.00016275831141917654,0.0002530729107093066,0.0
history_008_bass,Arise - Run Run Run,bass,eq_minus6,input,0.10113116353750229,0.09899991750717163,0.1972583258164491,0.14202832544427757,0.09753199455961711,1.3937327861785889,0.0
history_008_bass,Arise - Run Run Run,bass,eq_minus6,normalized,0.33240827918052673,0.33253973722457886,0.017145567224403635,0.7055648914749462,0.1197540649362728,0.020639795809984207,0.0
history_008_bass,Arise - Run Run Run,bass,eq_plus6,input,0.10488550364971161,0.10167735815048218,0.20420471210885083,0.13047665164612354,0.10525569347589149,1.4748104810714722,0.0
history_008_bass,Arise - Run Run Run,bass,eq_plus6,normalized,0.3594190776348114,0.3609895706176758,0.09034758929307429,0.012703347221073358,0.3797073780052636,0.1651858687400818,0.0
history_008_bass,Arise - Run Run Run,bass,comp_ratio2,input,0.7696632146835327,0.32292091846466064,4.45772647037758,1.4465606200857337,1.8706164129857084,0.8017482757568359,0.0
history_008_bass,Arise - Run Run Run,bass,comp_ratio2,normalized,0.47453436255455017,0.4751560091972351,0.14521929843626324,0.5752699533348569,1.5584302527117821,0.23321521282196045,0.0
history_008_bass,Arise - Run Run Run,bass,comp_ratio4,input,1.077211618423462,0.48561686277389526,6.603652917097229,0.010905036273619828,2.797225051375681,1.407285451889038,0.0
history_008_bass,Arise - Run Run Run,bass,comp_ratio4,normalized,0.6034895181655884,0.606719970703125,0.2578330185110218,3.3213391602772653,2.3286804832305994,0.4681304395198822,0.0
history_008_drums,Bobby Nobody - Stitch Up,drums,identity,input,0.0,0.0,0.0,0.0,0.0,0.0,0.0
history_008_drums,Bobby Nobody - Stitch Up,drums,identity,normalized,0.0,0.0,0.0,0.0,0.0,0.0,0.0
history_008_drums,Bobby Nobody - Stitch Up,drums,gain_minus6,input,1.0939176082611084,4.927343525196193e-06,6.0000004537645495,3.119914708804572e-07,1.3275282628020195e-06,3.4119689189537894e-06,0.0
history_008_drums,Bobby Nobody - Stitch Up,drums,gain_minus6,normalized,0.018276551738381386,0.01828392595052719,8.352285298940387e-06,8.935394710363198e-06,0.0031010070025832806,1.2419754966686014e-05,0.0
history_008_drums,Bobby Nobody - Stitch Up,drums,gain_plus6,input,1.639113426208496,4.108807388547575e-06,5.99999978736221,4.1632164382576775e-07,1.1705500158023358e-06,6.151014531496912e-06,0.0
history_008_drums,Bobby Nobody - Stitch Up,drums,gain_plus6,normalized,0.008343538269400597,0.00835193507373333,2.7401459732345756e-06,2.6826318730854837e-06,0.0032255992062649595,1.4872427527734544e-05,0.0
history_008_drums,Bobby Nobody - Stitch Up,drums,eq_minus6,input,0.24110782146453857,0.26363179087638855,1.2221983365707274,0.0030786206385648995,0.5663879317959202,1.589475393295288,0.0
history_008_drums,Bobby Nobody - Stitch Up,drums,eq_minus6,normalized,0.31106066703796387,0.3110809922218323,0.002020120331010844,0.021752792678611854,0.07762437046444025,0.0031996029429137707,0.0
history_008_drums,Bobby Nobody - Stitch Up,drums,eq_plus6,input,0.3429431617259979,0.33647292852401733,1.6722932244808248,2.185600373261419,0.7773514775473832,1.6767497062683105,0.0
history_008_drums,Bobby Nobody - Stitch Up,drums,eq_plus6,normalized,0.3097788095474243,0.30977892875671387,2.2509330591446997e-05,0.0549807514208176,0.07753535572895268,0.00323403044603765,0.0
history_008_drums,Bobby Nobody - Stitch Up,drums,comp_ratio2,input,0.8376182913780212,1.014599323272705,7.3229210390316055,0.01474448711115528,2.680407057357299,1.8009847402572632,0.0
history_008_drums,Bobby Nobody - Stitch Up,drums,comp_ratio2,normalized,1.7496613264083862,1.723893165588379,0.4247915110953926,0.5840290996406239,3.410418319192297,0.9733160138130188,0.0
history_008_drums,Bobby Nobody - Stitch Up,drums,comp_ratio4,input,1.0674159526824951,1.3952827453613281,9.824767579119346,2.2231769811974615,3.950890570905853,2.346344470977783,0.0
history_008_drums,Bobby Nobody - Stitch Up,drums,comp_ratio4,normalized,1.8799009323120117,1.8127472400665283,0.8184885659725154,2.356783932994645,4.626573736449076,1.349511742591858,0.0
history_008_vocals,M.E.R.C. Music - Knockout,vocals,identity,input,0.0,0.0,0.0,0.0,0.0,0.0,0.0
history_008_vocals,M.E.R.C. Music - Knockout,vocals,identity,normalized,0.0,0.0,0.0,0.0,0.0,0.0,0.0
history_008_vocals,M.E.R.C. Music - Knockout,vocals,gain_minus6,input,1.173161268234253,5.935914487054106e-06,6.000000478947165,7.039873395342511e-08,1.1256267382879286e-08,8.357583283213899e-06,0.0
history_008_vocals,M.E.R.C. Music - Knockout,vocals,gain_minus6,normalized,0.0036879684776067734,0.003694023471325636,1.1362457250641e-06,9.059633718777604e-07,4.29391319799497e-05,3.4119689189537894e-06,0.0
history_008_vocals,M.E.R.C. Music - Knockout,vocals,gain_plus6,input,1.676609754562378,6.648412636423018e-06,5.999999777047009,7.455097517095055e-08,9.559105420169134e-09,3.4119689189537894e-06,0.0
history_008_vocals,M.E.R.C. Music - Knockout,vocals,gain_plus6,normalized,0.0037539887707680464,0.0037602013908326626,3.397436287855271e-06,2.8912801113278874e-06,4.7211110150156614e-05,6.823937837907579e-06,0.0
history_008_vocals,M.E.R.C. Music - Knockout,vocals,eq_minus6,input,0.3462424874305725,0.43593138456344604,2.279627342829375,1.689715072574053,0.8951122172533631,1.5581343173980713,0.0
history_008_vocals,M.E.R.C. Music - Knockout,vocals,eq_minus6,normalized,0.12936308979988098,0.12935517728328705,0.0010247555039413214,0.0315033522551218,0.04614291011482076,0.002783434931188822,0.0
history_008_vocals,M.E.R.C. Music - Knockout,vocals,eq_plus6,input,0.5440423488616943,0.5227946639060974,3.0308869144874073,0.8617544175793057,1.0722615622231713,1.6435177326202393,0.0
history_008_vocals,M.E.R.C. Music - Knockout,vocals,eq_plus6,normalized,0.12899218499660492,0.1289852261543274,0.001836617005857022,0.07102786986656184,0.04473373923128559,0.003504085587337613,0.0
history_008_vocals,M.E.R.C. Music - Knockout,vocals,comp_ratio2,input,0.8785065412521362,0.412890762090683,5.214808034928069,2.474334562244813,2.1886168452478554,0.9422041177749634,0.0
